Temperature,Pressure
4.7892010535949324e-08,1.958251029501974e-17
6.62506145747299e-08,2.0555148774355865e-17
8.460921861351047e-08,2.2378475808719865e-17
1.0296782265229105e-07,2.5341320819736667e-17
1.213264266910716e-07,2.9945268077891476e-17
1.3968503072985219e-07,3.6814530579514544e-17
1.5804363476863275e-07,4.6428240547433914e-17
1.764022388074133e-07,5.89515177394238e-17
1.947608428461939e-07,7.447723757813163e-17
2.1311944688497446e-07,9.347271583427137e-17
2.3147805092375505e-07,1.1543541963033332e-16
2.4983665496253564e-07,1.3744884001339e-16
2.6819525900131617e-07,1.5343821627630477e-16
2.8655386304009676e-07,1.6717722536309364e-16
3.0491246707887735e-07,1.8025429818876467e-16
3.232710711176579e-07,1.9294254282881749e-16
3.4162967515643847e-07,2.053711197571719e-16
3.5998827919521906e-07,2.1761417932740591e-16
3.7834688323399965e-07,2.297188185565512e-16
3.967054872727802e-07,2.417169337748931e-16
4.1506409131156077e-07,2.536311225754697e-16
4.3342269535034136e-07,2.6547794416667535e-16
4.517812993891219e-07,2.772698577531785e-16
4.701399034279025e-07,2.8901644021873625e-16
4.884985074666831e-07,3.007251846833531e-16
5.068571115054637e-07,3.1240204264162823e-16
5.252157155442443e-07,3.24051802672155e-16
5.435743195830248e-07,3.3567836140325725e-16
5.619329236218054e-07,3.472849213989547e-16
5.80291527660586e-07,3.5887413825633533e-16
5.986501316993665e-07,3.7044823165960903e-16
